CH 1	CH 2	CH 3	DE 1	DE 2	DE 3	EN 1	EN 2	EN 3	
Swiss German term	Swiss German term (alternate)		High German translation	High German translation (alternate)		English Translation	English translation (alternate)		
scho			schon			already			
vo			von			from			
de Maa			der Mann			the man			
mache			machen			to make			
eifach			einfach			simple	easy		
ich bin	ich bi		ich bin			I am			
ich chan	ich cha		ich kann			I am able to	I can		
au			auch			also			
no	na		noch			still			
mit oi	mit eu		mit euch			with you (all)			
dur	dure		durch			through			
Züri			Zürich			Zurich			
äntli			endlich			finally			
welles			welches			which			
grad			gerade			just	right away		
jetz			jetzt			now			
gääl			gelb			yellow			
kai			kein			not a			
choche	koche		kochen			to cook	to boil		
d Brugg			die Brücke			the bridge			
zrugg			zurück			back			
de Schtärn			der Stern			the star			
geschter			gestern			yesterday			
du bisch			du bist			you are			
er isch			er ist			he is			
de Gascht			der Gast			the guest			
schpile			spielen			to play			
de Puure	de Puur		der Bauer			the farmer			
Dütsch	Tütsch		Deutsch			German			
dörfe	törfe		durfen			to be allowed to			
d Liecht			die Licht			the light			
Wiä bitte?	Wie bitte?		Wie bitte?			I beg your pardon?			
de Spiegel			der Spiegel			the mirror			
nie			nie			never			
tüüf			tief			deep			
Wiä gaats?	Wie gaats?		Wie geht's?			How are you?	How's it going?		
schlächt			schlecht			bad			
de Chäfer			der Käfer			the beetle			
de Chäs	de Chääs		der Käse			the cheese			
d Brüle			die Brille			the (pair of) glasses			
s Buäch			das Buch			the book			
guet	guät		gut			good			
d Muus			die Maus			the mouse			
s Huus			das Haus			the house			
bruuche			brauchen			to need			
hütt			heute			today			
Lüüt			die Leute			people			
s Füürzüüg			das Feuerzeug			the lighter			
sii	si		sein			to be			
d Ziit			die Zeit			the time			
bi ois			bei uns			at our place			
d Wuche			die Woche			the week			
d Sunne			die Sonne			the sun			
s Brötli			das Brotchen			the roll			
d Quittig			die Quittung			the receipt			
d Rächnig			die Rechnung			the bill			
uufruume			aufräumen			to clean up	to tidy up		
iistiige			einsteigen			to get on			
uusstiige			aussteigen			to get off			
aafange			anfange			to start			
bsueche	bsuäche		besuchen			to visit			
ich ha gmacht			ich habe gemacht			I made			
Schtai am Rhii			Stein am Rhein			Stein am Rhein			
d Frau			die Frau			the woman			
s Chind			das Kind			the child			
d Chind			die Kinder			the children			
en Maa			ein Mann			a man			
e Frau			eine Frau			a woman			
es Chind			ein Kind			a child			
Chind			Kinder			children			
kain Maa			kein Mann			no man			
kai Frau			keine Frau			no woman			
kais Chind			kein Kind			no child			
kai Chind			keine Kinder			no children			
mit em Maa			mit dem Mann			with the man			
mit de Frau			mit der Frau			with the woman			
mit em Chind			mit dem Kind			with the child			
mit de Chind			mit den Kinder			with the children			
mit emene Maa	miteme Maa	mitemene Maa	mit einem Mann			with a man			
mit enere Frau	mitere Frau	mitenere Frau	mit einer Frau			with a woman			
mit emene Chind			mit einem Chind			with a child			
mit Chind			mit Kinder			with children			
sie isch	si isch		sie ist			she is			
es isch			es ist			it is			
mir sind			wir sind			we are			
ir sind			ihr seid			you (all) are			
Sie sind	Si sind		Sie sind						
für mich			für mich			for me			
für dich			für dich			for you			
für in			für ihn			for him			
für si			für sie			for her	for them		
für es			für es			for it			
für ois			für uns			for us			
für oi			für euch			for you (all)			
mit mir			mit mir			with me			
mit dir			mit dir			with you			
mit im			mit ihm			with him	with it		
mit ire			mit ihr			with her			
mit ois			mit uns			with us			
mit ine			mit ihnen			with them			
Hani Ziit?			Habe ich Zeit?			Do I have time?			
Häsch Hunger?	Häsch du Hunger?		Hast du Hunger?			Are you hungry?			
Hätr Hunger?			Hat er Hunger?			Is he hungry?			
Hätsi Hunger?			Hat sie Hunger?			Is she hungry?			
Wämmer go skifahre?						Shall we go and ski?			
Gömmer go poschte?						Shall we go and shop?			
Hämmer öppis gha?			Haben wir etwas gehabt?			Did we have something?			
Simmer verspötet?			Sind wir verspätet?			Are we late?			
Händr Spass?			Habt ihr Spass?			Are you (all) having fun?			
Du froischdi.			Du freust dich.			You are happy.	You are glad.		
Ich rasiärmi hütt nöd.			Ich rasiere mich heute nicht.			I don't shave today.			
Ich wäschmer hütt d Haar nöd.			I wasche mich die Haare heute nicht.			I don't wash my hair today.			
Wiä oft putzischder d Zää?.			Wie oft putzt du dir die Zähne?			How often do you brush your teeth?			
min Maa			mein Mann			my husband			
mini Frau			meine Frau			my wife			
mis Chind			mein Kind			my child			
mini Chind			meine Kinder			my children			
mit mim Maa			mit meinem Mann			with my husband			
mit minere Frau			mit meiner Frau			with my wife			
mit mim Chind			mit meinem Kind			with my child			
mit mine Chind			mit meinen Kinder			with my children			
din Maa			dein Mann			your husband			
sin Maa			sein Mann			his husband			
ire Maa			ihr Mann			her husband			
iri Frau			ihre Frau			her wife			
ires Chind			ihres Kind			her child			
iri Chind			ihre Kinder			her children			
mit irem Maa			mit ihrem Mann			with her husband			
mit irere Frau			mit ihrer Frau			with her wife			
mit irem Chind			mit ihrem Kind			with her child			
mit ire Chind			mit ihren Kinder			with her children			
oise Maa			unser Mann			our husband			
oije Maa			eurer Mann			your (all's) husband			
dä Maa			deiser Mann			this man			
diä Frau			diese Frau			this woman			
das Chind			dieses Kind			this child			
diä Chind			diese Kinder			these children			
mit däm Maa			mit diesem Mann			with this man			
mit dere Frau			mit dieser Frau			with this woman			
mit däm Chind			mit diesem Kind			with this child			
mit däne Chind			mit diesen Kindern			with these children			
de gross Maa	de grossi Maa		der grosse Mann			the big man			
di gross Frau	di grossi Frau		die grosse Frau			the big woman			
s alte Huus			das alte Haus			the old house			
di grosse Chind			die grossen Kinder			the big children			
en grosse Maa			ein grosser Mann			a big man			
e grossi Frau			eine grosse Frau			a big woman			
es alts Huus			ein altes Haus			an old house			
grosse Maa			grosser Mann			big man			
grossi Frau			grosse Frau			big woman			
alts Huus			grosses Haus			old house			
grossi Chind			grosse Kinder			big children			
min grosse Maa			mein grosser Mann			my big husband			
mini gross Frau			meine grosse Frau			my big wife			
mis alte Huus			mein altes Haus			my old house			
mini grosse Chind			meine grossen Kinder			my big children			
mit em grosse Maa			mit dem grossen Mann			with the big man			
mit de grosse Frau			mit der grossen Frau			with the big woman			
mit em grosse Chind			mit dem grossen Kind			with the big child			
mit de grosse Chind			mit den grossen Kinder			with the big children			
mit emene grosse Maa			mit einem grossen Mann			with a big man			
mit enere grosse Frau			mit einer grossen Frau			with a big woman			
mit emene grosse Chind			mit einem grossen Kind			with a big child			
mit grossem Maa			mit grossem Mann			with big man			
mit grosse Frau	mit grosser Frau		mit grosser Frau			with big woman			
mit grossem Chind			mit grossem Kind			with big child			
mit grosse Chind			mit grossen Kinder			with big children			
mit mim grosse Maa			mit meinem grossen Mann			with my big husband			
mit minere grosse Frau			mit meiner grossen Frau			with my big wife			
mit mim grosse Chind			mit meinem grossen Kind			with my big child			
mit mine grosse Chind			mit meinen grossen Kinder			with my big children			
Ich gang go schaffe.						I'm going (somewhere) to work.			
Ich chume zu dir go schlafe.						I'm coming to yours to sleep.	I'm coming to your place to sleep.		
Ich bi de Maa, wo da wont.			Ich bin der Mann, der hier wohnt.			I am the man who lives here.	I am the man that lives here.		
Tuänd Si tschuute?	Tschutted Si?					Do you play soccer?			
Ich tuä gärn tanze.	Ich tanze gärn.					I like to dance.			
Guete-n-aabig.			Guten Abend.			Good evening.			
Min Name-n-isch Tobler.			Mein Name ist Tobler.			My last name is Tobler.			
ich mache			ich mache			I make			
du machsch			du machst			you make			
er macht			er macht			he makes			
mir mached			wir machen			we make			
ich bi gsi	ich bin gsii	ich bin gsi	ich bin gewesen			I was			
ich bi cho	ich bin cho		ich bin gekommen			I came			
ich bin gange			ich bin gegangen			I went			
du haissisch			du heisst			you are called			
du issisch			du esst			you eat			
du lissisch			du liest			you read			
cho	choo		kommen			to come			
ich chume			ich komme			I come			
du chunsch			du kommst			you come			
er chunt			er kommt			he comes			
mir chömed			wir kommen			we come			
chöne			konnen			to be able to			
